particleName,Track ID,PosX,PosY,PosZ,kinEnergy / Mev,time
0,mu-,1,250,250,-2000,2896.2,0
0,mu-,1,221.253,221.253,-1770.02,2896.16,0.779506
0,mu-,1,190.71,190.735,-1525.84,2896.11,1.60715
0,mu-,1,168.908,168.958,-1351.6,2896.08,2.19775
0,mu-,1,164.425,164.477,-1315.74,2896.08,2.31928
0,mu-,1,162.726,162.778,-1302.15,2896.03,2.36536
0,mu-,1,162.52,162.573,-1300.5,2896.03,2.37094
0,mu-,1,162.395,162.448,-1299.5,2895.74,2.37433
0,mu-,1,160.951,161.007,-1287.98,2895.73,2.41339
0,mu-,1,158.725,158.787,-1270.21,2895.72,2.4736
0,mu-,1,156.255,156.323,-1250.5,2895.72,2.54042
0,mu-,1,156.13,156.198,-1249.5,2895.4,2.54381
0,mu-,1,149.997,150.088,-1200.5,2895.39,2.70989
0,mu-,1,149.871,149.963,-1199.5,2895.13,2.71328
0,mu-,1,143.708,143.854,-1150.5,2895.12,2.87937
0,mu-,1,143.582,143.729,-1149.5,2894.38,2.88276
0,mu-,1,137.41,137.587,-1100.5,2894.37,3.04887
0,mu-,1,137.284,137.462,-1099.5,2894.06,3.05226
0,mu-,1,124.748,124.999,-1000,2894.05,3.38956
0,mu-,1,124.086,124.341,-994.746,2891.61,3.40738
0,mu-,1,122.291,122.529,-980.439,2881.31,3.45588
0,mu-,1,119.491,119.739,-957.928,2871.34,3.53216
0,mu-,1,115.128,115.265,-922.97,2857.66,3.6507
0,mu-,1,112.619,112.647,-902.549,2849.09,3.71992
0,mu-,1,110.833,110.69,-887.478,2834.92,3.771
0,mu-,1,108.698,108.389,-869.749,2827.94,3.83109
0,mu-,1,108.264,107.905,-866.067,2821.74,3.84357
0,mu-,1,100.885,99.432,-801.076,2792.12,4.06372
0,mu-,1,91.1189,88.5565,-714.302,2758.98,4.35744
0,mu-,1,90.9839,88.4126,-713.114,2757.93,4.36146
0,mu-,1,89.7567,87.1056,-702.323,2752.22,4.39797
0,mu-,1,83.0208,79.8739,-642.708,2728.1,4.59968
0,mu-,1,81.9426,78.7034,-633.094,2724.01,4.63221
0,mu-,1,79.7216,76.3078,-613.343,2701.92,4.69903
0,mu-,1,78.576,75.0597,-603.122,2697.26,4.73362
0,mu-,1,75.0907,71.2869,-572.335,2684.26,4.8378
0,mu-,1,74.9358,71.1212,-570.992,2656,4.84235
0,mu-,1,74.8882,71.0694,-570.573,2653.57,4.84377
0,mu-,1,62.2384,57.4453,-459.804,2614.03,5.21869
0,mu-,1,49.5549,43.2072,-334.95,2569.8,5.64031
0,mu-,1,47.4818,41.0099,-314.722,2173.54,5.70859
0,mu-,1,44.2637,37.5793,-283.703,2162.78,5.81335
0,mu-,1,43.3444,36.6097,-274.971,2158.15,5.84285
0,mu-,1,43.1049,36.3617,-272.724,2155.67,5.85044
0,mu-,1,38.6249,31.7508,-230.685,2140.72,5.99245
0,mu-,1,36.0473,29.1511,-205.899,2074.31,6.07612
0,mu-,1,30.487,23.9291,-152.701,2014.57,6.25559
0,mu-,1,27.6112,21.8794,-130.527,1987.14,6.33058
0,mu-,1,23.2392,18.5576,-96.3941,1917.82,6.44605
0,mu-,1,21.9932,17.4929,-83.7932,1902.13,6.48849
0,mu-,1,20.0677,15.6292,-63.318,1870.78,6.55747
0,mu-,1,18.257,13.5766,-42.0271,1822.84,6.62918
0,mu-,1,14.0851,8.64964,3.50157,1772.24,6.78279
0,mu-,1,14.0154,8.57773,4.15277,1769.95,6.78499
0,mu-,1,6.08479,0.498299,76.3929,1691.09,7.02929
0,mu-,1,4.50392,-1.23149,91.9437,1673.31,7.08184
0,mu-,1,1.52341,-4.94822,120.312,1638.81,7.17796
0,mu-,1,0.746574,-5.96203,128.888,1628.71,7.20693
0,mu-,1,-3.79964,-11.7663,177.967,1562.96,7.37279
0,mu-,1,-4.14261,-12.3635,183.014,1555.13,7.38981
0,mu-,1,-7.71488,-20.1593,244.089,1481.75,7.59596
0,mu-,1,-8.64744,-22.7499,264.992,1453.63,7.66644
0,mu-,1,-9.26469,-24.7556,280.297,1435.22,7.71809
0,mu-,1,-14.2683,-41.2318,414.944,1291.53,8.17195
0,mu-,1,-18.1289,-46.5977,480.068,1226.06,8.39092
0,mu-,1,-19.8345,-51.6968,524.286,1208.61,8.53997
0,mu-,1,-20.3668,-53.1499,537.711,1203.18,8.5852
0,mu-,1,-20.8149,-54.6027,550.617,1197.8,8.62869
0,mu-,1,-24.4588,-68.6254,668.693,1157.48,9.02681
0,mu-,1,-24.8519,-70.6913,684.645,1150.36,9.08067
0,mu-,1,-25.6661,-76.8329,731.273,1130.19,9.23813
0,mu-,1,-25.7876,-77.2766,734.791,1127.99,9.25001
0,mu-,1,-26.4691,-79.7401,754.071,1115.16,9.31512
0,mu-,1,-27.0443,-81.8581,770.468,1107.17,9.37051
0,mu-,1,-27.6678,-84.614,791.27,1098.67,9.4408
0,mu-,1,-28.1886,-86.7323,807.318,1091.16,9.49503
0,mu-,1,-29.1677,-90.6368,836.99,1079.83,9.5953
0,mu-,1,-31.9179,-101.636,918.427,1050.27,9.87067
0,mu-,1,-32.3179,-104.323,938.209,1042.06,9.93755
0,mu-,1,-32.4171,-104.899,942.434,1039.37,9.95184
0,mu-,1,-33.0718,-109.138,974.253,1027.09,10.0594
0,mu-,1,-33.7776,-112.324,1000,1019.12,10.1463
0,mu-,1,-34.6714,-120.518,1061.3,1019.11,10.3536
0,mu-,1,-34.7058,-120.832,1063.64,1019.11,10.3615
0,mu-,1,-35.2333,-125.627,1099.5,1019.1,10.4827
0,mu-,1,-35.2479,-125.761,1100.5,1018.74,10.4861
0,mu-,1,-36.064,-132.264,1149.5,1018.73,10.6517
0,mu-,1,-36.0805,-132.396,1150.5,1018.38,10.6551
0,mu-,1,-36.8827,-138.775,1199.5,1018.37,10.8207
0,mu-,1,-36.8993,-138.905,1200.5,1017.71,10.8241
0,mu-,1,-37.7562,-145.309,1249.5,1017.7,10.9897
0,mu-,1,-37.7738,-145.439,1250.5,1017.39,10.993
0,mu-,1,-38.1889,-148.438,1273.56,1017.39,11.071
0,mu-,1,-38.3243,-149.417,1281.09,1017.38,11.0964
0,mu-,1,-38.6548,-151.811,1299.5,1017.38,11.1586
0,mu-,1,-38.6725,-151.942,1300.5,1017.1,11.162
0,mu-,1,-39.3103,-156.675,1336.61,1017.09,11.284
0,mu-,1,-42.3536,-179.24,1508.79,1017.06,11.866
0,mu-,1,-43.098,-184.771,1551.11,1017.06,12.009
0,mu-,1,-43.1495,-185.155,1554.05,1017.05,12.0189
0,mu-,1,-44.4518,-194.885,1628.54,1017.03,12.2707
1,mu-,1,250,250,-2000,2896.2,0
1,mu-,1,244.667,244.667,-1957.33,2896.18,0.144619
1,mu-,1,229.346,229.332,-1834.72,2896.16,0.560196
1,mu-,1,222.705,222.68,-1781.56,2896.15,0.740384
1,mu-,1,221.198,221.171,-1769.5,2896.15,0.781258
1,mu-,1,186.618,186.525,-1492.71,2896.11,1.71946
1,mu-,1,183.155,183.062,-1465.01,2896.1,1.81333
1,mu-,1,162.585,162.487,-1300.5,2896.07,2.37095
1,mu-,1,162.46,162.362,-1299.5,2895.79,2.37434
1,mu-,1,156.512,156.421,-1251.94,2895.78,2.53555
1,mu-,1,156.332,156.241,-1250.5,2895.78,2.54042
1,mu-,1,156.207,156.116,-1249.5,2895.46,2.54381
1,mu-,1,150.072,150.017,-1200.5,2895.46,2.70989
1,mu-,1,149.947,149.893,-1199.5,2895.15,2.71328
1,mu-,1,143.775,143.755,-1150.5,2895.14,2.87939
1,mu-,1,143.649,143.63,-1149.5,2894.69,2.88278
1,mu-,1,137.492,137.478,-1100.5,2894.68,3.04888
1,mu-,1,137.367,137.352,-1099.5,2894.36,3.05227
1,mu-,1,124.875,124.904,-1000,2894.34,3.38955
1,mu-,1,122.633,122.68,-982.186,2886.07,3.44994
1,mu-,1,118.176,118.25,-945.94,2871.98,3.57272
1,mu-,1,118.148,118.222,-945.709,2870.87,3.5735
1,mu-,1,116.14,116.26,-929.206,2860.4,3.62938
1,mu-,1,114.122,114.377,-912.73,2854.42,3.68514
1,mu-,1,112.756,113.109,-901.581,2848.74,3.72287
1,mu-,1,111.951,112.369,-894.958,2845.91,3.74527
1,mu-,1,111.076,111.577,-887.727,2842.39,3.76973
1,mu-,1,104.427,105.498,-831.656,2821.43,3.95928
1,mu-,1,103.991,105.12,-828.045,2819.3,3.97148
1,mu-,1,102.603,103.939,-816.699,2800.46,4.00984
1,mu-,1,94.0921,96.4144,-746.64,2773.85,4.24674
1,mu-,1,81.5976,85.4872,-644.451,2736.13,4.59231
1,mu-,1,78.3662,82.7219,-619.244,2725.95,4.67763
1,mu-,1,65.4968,71.9708,-521.077,2686.25,5.01006
1,mu-,1,62.9354,69.936,-502.284,2678.45,5.07373
1,mu-,1,58.7977,66.5776,-471.647,2665.83,5.17754
1,mu-,1,56.7241,64.9139,-456.121,2658.78,5.23012
1,mu-,1,56.575,64.7922,-455.01,2657.4,5.23388
1,mu-,1,55.334,63.7773,-445.771,2652.95,5.26518
1,mu-,1,53.5715,62.3554,-432.806,2647.23,5.30912
1,mu-,1,49.7116,59.1417,-403.908,2634.79,5.40703
1,mu-,1,45.9161,55.9037,-375.588,2623.18,5.50302
1,mu-,1,44.3697,54.5186,-363.766,2618.44,5.54309
1,mu-,1,34.3862,45.5534,-286.027,2588.81,5.80643
1,mu-,1,33.0536,44.4256,-276.078,2583.43,5.84015
1,mu-,1,28.8326,40.8495,-244.858,2572.79,5.94599
1,mu-,1,28.402,40.5015,-241.793,2560.9,5.95639
1,mu-,1,27.0466,39.4084,-232.238,2548.44,5.98881
1,mu-,1,26.8823,39.2769,-231.032,2536.84,5.9929
1,mu-,1,26.2801,38.7912,-226.552,2527.08,6.00807
1,mu-,1,25.4677,38.1707,-220.759,2519.6,6.02771
1,mu-,1,25.2356,37.9921,-219.133,2515.66,6.03323
1,mu-,1,23.5853,36.7137,-207.456,2498.94,6.07283
1,mu-,1,19.4842,33.3668,-177.111,2402.02,6.17566
1,mu-,1,14.9692,29.7417,-146.456,2367.2,6.27982
1,mu-,1,12.5586,27.7514,-130.286,2348.94,6.3348
1,mu-,1,7.48884,23.2982,-95.7296,2307.92,6.45236
1,mu-,1,7.2605,23.14,-94.3319,2303.29,6.45711
1,mu-,1,5.64409,21.9863,-84.3183,2290.01,6.4912
1,mu-,1,4.90813,21.4517,-79.5141,2282.25,6.50753
1,mu-,1,2.75228,19.9394,-65.676,2254.06,6.55456
1,mu-,1,0.70947,18.5141,-52.848,2236.61,6.59819
1,mu-,1,-5.47064,14.3895,-15.2743,2193.65,6.72608
1,mu-,1,-11.6112,10.6802,23.8348,2147.05,6.85885
1,mu-,1,-16.7023,7.28364,56.7348,2107.54,6.9706
1,mu-,1,-31.0672,-3.23237,151.728,1994.38,7.29335
1,mu-,1,-31.9492,-3.81322,157.642,1983.25,7.31341
1,mu-,1,-35.6928,-6.04455,183.297,1949.59,7.40033
1,mu-,1,-35.767,-6.0818,183.798,1946.35,7.40202
1,mu-,1,-36.8958,-6.65777,191.482,1931.05,7.42803
1,mu-,1,-38.1268,-7.32727,199.606,1921.18,7.45557
1,mu-,1,-39.2506,-7.95885,206.919,1911.8,7.48037
1,mu-,1,-42.2492,-9.74418,227.126,1885.7,7.54887
1,mu-,1,-43.7737,-10.6703,237.766,1873.1,7.58491
1,mu-,1,-45.6213,-11.7157,250.406,1856.08,7.62772
1,mu-,1,-48.0121,-13.0554,266.864,1837.87,7.68345
1,mu-,1,-48.2362,-13.1632,268.325,1836.46,7.68841
1,mu-,1,-54.698,-16.1098,310.823,1820.3,7.83234
1,mu-,1,-68.326,-22.9134,403.904,1780.2,8.14743
1,mu-,1,-72.0311,-24.7629,428.998,1768.26,8.2324
1,mu-,1,-72.0847,-24.7894,429.356,1767.46,8.23361
1,mu-,1,-74.857,-26.159,447.825,1760.7,8.29618
1,mu-,1,-78.9462,-28.1803,474.442,1751.35,8.3864
1,mu-,1,-79.3615,-28.3951,477.218,1748.91,8.39581
1,mu-,1,-82.5961,-30.0258,498.863,1741.21,8.46913
1,mu-,1,-86.3568,-31.9159,524.346,1730.77,8.55543
1,mu-,1,-90.9076,-34.0615,555.568,1719.49,8.66109
1,mu-,1,-94.6943,-35.9714,582.796,1709.04,8.75316
1,mu-,1,-97.2,-37.2462,600.604,1701.39,8.8134
1,mu-,1,-101.924,-39.4821,633.235,1687.98,8.92382
1,mu-,1,-101.945,-39.4919,633.375,1677.44,8.92429
1,mu-,1,-103.869,-40.4595,646.766,1669.81,8.96962
1,mu-,1,-105.063,-41.1022,655.149,1666.2,8.99799
1,mu-,1,-105.607,-41.3916,658.95,1664.32,9.01086
1,mu-,1,-106.144,-41.6751,662.733,1659.01,9.02366
1,mu-,1,-109.335,-43.3628,685.317,1650.2,9.10009
1,mu-,1,-122.595,-50.4914,780.837,1615.83,9.42323
1,mu-,1,-125.224,-51.6768,799.704,1607.57,9.48701
1,mu-,1,-130.619,-54.1313,837.163,1593.17,9.61376
1,mu-,1,-135.141,-56.2811,869.198,1581.67,9.72212
1,mu-,1,-140.198,-58.7687,905.544,1567.39,9.84505
1,mu-,1,-142.189,-59.6381,919.918,1561.66,9.89364
1,mu-,1,-142.932,-59.9457,925.314,1554.62,9.91187
1,mu-,1,-145.674,-61.1371,945.141,1546.97,9.97889
1,mu-,1,-149.598,-62.8194,972.611,1534.62,10.0718
1,mu-,1,-153.636,-64.6591,1000,1525.63,10.1646
1,mu-,1,-156.441,-66.0708,1019.8,1525.53,10.2316
1,mu-,1,-164.536,-70.1425,1077.03,1525.51,10.4252
1,mu-,1,-167.716,-71.7402,1099.5,1525.51,10.5013
1,mu-,1,-167.858,-71.8113,1100.5,1525.2,10.5047
1,mu-,1,-168.287,-72.0281,1103.52,1525.2,10.5149
1,mu-,1,-173.978,-74.9039,1143.63,1525.19,10.6506
1,mu-,1,-174.812,-75.3254,1149.5,1525.19,10.6705
1,mu-,1,-174.953,-75.3972,1150.5,1524.77,10.6739
1,mu-,1,-178.099,-76.9559,1172.63,1524.76,10.7488
1,mu-,1,-181.916,-78.8488,1199.5,1524.76,10.8398
1,mu-,1,-182.058,-78.9193,1200.5,1524.32,10.8431
1,mu-,1,-188.967,-82.3299,1249.5,1524.32,11.0089
1,mu-,1,-189.108,-82.3995,1250.5,1523.94,11.0123
1,mu-,1,-195.992,-85.851,1299.5,1523.93,11.1781
1,mu-,1,-196.132,-85.9215,1300.5,1523.56,11.1815
1,mu-,1,-198.074,-86.8809,1314.28,1523.45,11.2281
1,mu-,1,-211.72,-93.6438,1411.22,1523.43,11.5561
1,mu-,1,-220.647,-98.0759,1474.6,1523.36,11.7706
1,mu-,1,-225.266,-100.366,1507.37,1523.36,11.8815
1,mu-,1,-225.281,-100.374,1507.48,1523.35,11.8819
1,mu-,1,-254.128,-114.677,1712.05,1523.32,12.5741
1,mu-,1,-257.593,-116.402,1736.64,1523.3,12.6573
1,mu-,1,-270.062,-122.609,1825.08,1523.29,12.9566
1,mu-,1,-281.241,-128.191,1904.39,1523.27,13.225
2,mu-,1,250,250,-2000,2896.2,0
2,mu-,1,222.673,222.673,-1781.39,2896.05,0.740985
2,mu-,1,215.447,215.431,-1723.55,2896.03,0.937022
2,mu-,1,214.721,214.705,-1717.75,2896.02,0.956692
2,mu-,1,209.728,209.701,-1677.78,2896.01,1.09215
2,mu-,1,203.898,203.861,-1631.13,2895.99,1.25027
2,mu-,1,181.587,181.518,-1452.62,2895.97,1.85534
2,mu-,1,162.579,162.494,-1300.5,2895.94,2.37095
2,mu-,1,162.454,162.369,-1299.5,2895.67,2.37434
2,mu-,1,161.505,161.423,-1291.91,2895.56,2.40007
2,mu-,1,156.331,156.257,-1250.5,2895.55,2.54042
2,mu-,1,156.206,156.132,-1249.5,2894.9,2.5438
2,mu-,1,154.664,154.591,-1237.1,2894.9,2.58581
2,mu-,1,150.111,150.039,-1200.5,2894.89,2.70986
2,mu-,1,149.986,149.915,-1199.5,2894.54,2.71325
2,mu-,1,147.568,147.498,-1180.02,2894.54,2.77925
2,mu-,1,144.007,143.938,-1151.34,2894.53,2.87644
2,mu-,1,143.902,143.833,-1150.5,2894.53,2.8793
2,mu-,1,143.778,143.709,-1149.5,2894.16,2.88269
2,mu-,1,143.663,143.594,-1148.57,2894.15,2.88583
2,mu-,1,137.693,137.644,-1100.5,2894.15,3.04873
2,mu-,1,137.593,137.543,-1099.69,2893,3.05147
2,mu-,1,137.569,137.52,-1099.5,2892.96,3.05212
2,mu-,1,137.387,137.337,-1098.03,2892.96,3.05711
2,mu-,1,136.077,136.021,-1087.45,2892.95,3.09296
2,mu-,1,125.245,125.149,-1000,2892.94,3.3893
2,mu-,1,124.051,123.951,-990.355,2887.97,3.42198
2,mu-,1,121.824,121.745,-972.245,2880.19,3.48333
2,mu-,1,114.103,114.08,-908.86,2857.5,3.69798
2,mu-,1,104.857,104.878,-833.044,2825.41,3.95476
2,mu-,1,102.603,102.674,-815.501,2818.09,4.01425
2,mu-,1,90.5084,90.6217,-721.851,2785.38,4.33199
2,mu-,1,89.7027,89.797,-715.392,2781.18,4.35389
2,mu-,1,79.3485,79.1972,-632.947,2750.75,4.63349
2,mu-,1,79.0529,78.8979,-630.716,2718.99,4.64107
2,mu-,1,78.0432,77.8944,-623.115,2715.68,4.66688
2,mu-,1,75.3417,75.2873,-602.981,2707.54,4.73525
2,mu-,1,67.4265,67.6068,-543.674,2684.41,4.93661
2,mu-,1,63.9055,64.0605,-517.191,2674.96,5.02657
2,mu-,1,62.0553,62.2125,-503.368,2669.3,5.07353
2,mu-,1,56.3302,56.5189,-460.86,2651.23,5.21796
2,mu-,1,49.3271,49.3842,-409.098,2631.08,5.39394
2,mu-,1,46.3646,46.2934,-387.279,2622.83,5.46816
2,mu-,1,44.672,44.5308,-374.831,2617.1,5.51051
2,mu-,1,35.6878,35.0197,-307.456,2593.45,5.73962
2,mu-,1,31.0092,30.0585,-271.163,2549.83,5.86289
2,mu-,1,30.9602,30.0048,-270.76,2546.95,5.86426
2,mu-,1,29.5598,28.4591,-259.134,2532.61,5.90369
2,mu-,1,27.7234,26.4466,-243.992,2511.75,5.95505
2,mu-,1,24.2096,22.7331,-216.507,2477.27,6.04838
2,mu-,1,22.1765,20.8902,-203.07,2459.67,6.09417
2,mu-,1,20.2984,19.3221,-191.035,2438.38,6.13517
2,mu-,1,19.3375,18.53,-184.904,2429.98,6.15606
2,mu-,1,18.2343,17.6497,-178.009,2421.23,6.17955
2,mu-,1,16.2191,16.0143,-165.574,2398.91,6.22196
2,mu-,1,14.4427,14.6255,-154.841,2383.18,6.25858
